# ILLUSTRATIVE SAMPLE DATASET — NOT OFFICIAL CPSE DATA
#
# This is an illustrative example to demonstrate the platform workflow.
# Replace this with real publicly available government procurement / CPSE
# material data before presenting as production data.
#
# Descriptions are typical of Indian government petroleum/PSU procurement tenders.
# Format: material_code,description,uom,quantity
# (Headers are flexible — the importer auto-detects columns.)
1001001,STAINLESS STEEL HEX BOLT M16 X 50 MM,EA,500
1001002,SS HEX BOLT M16 X 55 MM,EA,300
1001003,STAINLESS STEEL HEX HEAD BOLT 16MM X 50MM,EA,400
1001004,GATE VALVE DN80 PN16 CAST STEEL,EA,25
1001005,GATE VALVE NB80 CLASS150 FLANGED,EA,18
1001006,SPIRAL WOUND GASKET FOR DN80 PN16,EA,120
1001007,CAF GASKET 3 INCH CLASS 150,EA,90
1001008,DEEP GROOVE BALL BEARING 6205 25X52X15,EA,60
1001009,SKF BEARING 6205 ZZ,EA,55
1001010,PVC CABLE 1.5 SQ MM 3 CORE 1100V,M,2000
1001011,CABLE 1.5 SQMM 3.5 CORE ARMOURED 1100V,M,1500
1001012,MILD STEEL PIPE NB50 SCH40 SEAMLESS,M,800
1001013,GI PIPE 2 INCH MEDIUM CLASS B,M,600
1001014,MS PLATE 6MM THICK 2400X1200,PCS,40
1001015,SEAMLESS STEEL PIPE 50MM NB SCH 40,M,750
1001016,COMPRESSOR OIL LUBRICANT 68 GRADE,DRUM,12
1001017,ROTARY SCREW COMPRESSOR AIR END,KIT,2
1001018,NON ASBESTOS GASKET SHEET 3MM,RM,25
1001019,CENTRIFUGAL PUMP 5HP 3 PHASE,EA,4
1001020,WATER PUMP 5 HP FLANGE MOUNTED,EA,3
